Faction,Games,VP,Opp VP,Win %,Wins,Losses,Draws,Real Win %,End Date
Adepta Sororitas,414,68.29,63.76,55.07,228,182,4,55.53,11/07/2022
Adepta Sororitas,479,70.75,66.2,54.91,263,207,9,55.28,18/07/2022
Adepta Sororitas,537,69.87,63.59,56.98,306,221,10,57.62,25/07/2022
Adepta Sororitas,486,71.12,65.11,54.94,267,213,6,55.00,01/08/2022
Adepta Sororitas,498,68.38,66.74,55.62,277,208,13,56.12,08/08/2022
Adepta Sororitas,464,66.55,64.19,51.08,237,217,10,51.36,15/08/2022
Adepta Sororitas,485,68.65,68.52,49.69,241,236,8,49.67,22/08/2022
Adepta Sororitas,373,70.95,65,56.84,212,155,6,57.22,29/08/2022
Adepta Sororitas,5,64.2,96,0.00,0,5,0,0.00,05/09/2022
Adepta Sororitas,15,66.93,79.67,33.33,5,10,0,33.33,12/09/2022
Adepta Sororitas,36,73,66.36,66.67,24,12,0,66.67,19/09/2022
Adepta Sororitas,301,69.21,62.53,58.14,175,121,5,58.36,26/09/2022
Adepta Sororitas,348,69.93,66.22,51.15,178,162,8,51.16,03/10/2022
Adepta Sororitas,364,69.03,65.32,56.04,204,153,7,56.25,10/10/2022
Adepta Sororitas,235,67.83,66.92,50.21,118,112,5,50.21,17/10/2022
Adepta Sororitas,263,67.54,64.76,53.99,142,116,5,54.05,24/10/2022
Adepta Sororitas,222,66.87,61.48,56.31,125,95,2,56.42,31/10/2022
Adepta Sororitas,302,65.69,59.72,54.97,166,130,6,55.17,07/11/2022
Adepta Sororitas,314,71.56,66.23,56.69,178,131,5,57.38,14/11/2022
Adepta Sororitas,269,70.23,66.2,53.90,145,120,4,53.99,21/11/2022
Adepta Sororitas,309,70.81,63.95,58.58,181,125,3,58.80,28/11/2022
Adepta Sororitas,236,67.24,65.6,50.42,119,114,3,50.43,05/12/2022
Adepta Sororitas,215,65.62,60.92,53.49,115,97,3,53.49,12/12/2022
Adepta Sororitas,33,66.82,65.55,45.45,15,18,0,45.45,19/12/2022
Adeptus Custodes,296,69.23,60,58.78,174,120,2,58.90,11/07/2022
Adeptus Custodes,361,65.42,62.8,51.52,186,173,2,51.58,18/07/2022
Adeptus Custodes,407,63.87,60.91,53.07,216,183,8,53.20,25/07/2022
Adeptus Custodes,379,63.11,60.58,53.30,202,171,6,53.60,01/08/2022
Adeptus Custodes,369,66.94,62.7,55.28,204,158,7,55.34,08/08/2022
Adeptus Custodes,337,67.59,61.18,56.97,192,144,1,57.14,15/08/2022
Adeptus Custodes,319,68.03,60.94,56.11,179,133,7,56.48,22/08/2022
Adeptus Custodes,367,68.39,60.77,55.31,203,161,3,55.46,29/08/2022
Adeptus Custodes,2,101,46,100.00,2,0,0,100.00,05/09/2022
Adeptus Custodes,17,70.18,75.53,41.18,7,10,0,38.46,12/09/2022
Adeptus Custodes,27,68.07,56.48,66.67,18,9,0,66.67,19/09/2022
Adeptus Custodes,301,65.36,60.63,54.49,164,134,3,54.61,26/09/2022
Adeptus Custodes,327,67.35,62.11,58.10,190,133,4,58.26,03/10/2022
Adeptus Custodes,372,69.94,65.41,55.11,205,158,9,55.34,10/10/2022
Adeptus Custodes,265,65.04,62.06,52.83,140,121,4,52.90,17/10/2022
Adeptus Custodes,268,69.15,61.01,57.09,153,112,3,57.48,24/10/2022
Adeptus Custodes,333,64.19,62.87,50.45,168,165,0,50.45,31/10/2022
Adeptus Custodes,335,66.76,62.3,54.63,183,147,5,54.68,07/11/2022
Adeptus Custodes,297,66.33,61.48,57.58,171,124,2,57.68,14/11/2022
Adeptus Custodes,274,67.77,61.16,56.20,154,117,3,56.25,21/11/2022
Adeptus Custodes,319,65.61,60.24,53.61,171,145,3,53.70,28/11/2022
Adeptus Custodes,275,65.51,62.59,50.18,138,134,3,50.18,05/12/2022
Adeptus Custodes,272,65.08,62.84,49.26,134,136,2,49.24,12/12/2022
Adeptus Custodes,33,62.18,54.85,51.52,17,13,3,51.52,19/12/2022
Adeptus Mechanicus,106,61.22,62.01,47.17,50,53,3,47.17,11/07/2022
Adeptus Mechanicus,148,54,64.65,35.14,52,94,2,34.72,18/07/2022
Adeptus Mechanicus,142,59.82,69.92,43.66,62,78,2,43.66,25/07/2022
Adeptus Mechanicus,128,52.82,69.91,32.03,41,85,2,31.75,01/08/2022
Adeptus Mechanicus,106,55.77,64.02,41.51,44,59,3,41.35,08/08/2022
Adeptus Mechanicus,103,50.35,62.69,37.86,39,63,1,37.86,15/08/2022
Adeptus Mechanicus,100,56.59,62.29,42.00,42,54,4,42.00,22/08/2022
Adeptus Mechanicus,75,54.81,61.6,41.33,31,44,0,41.33,29/08/2022
Adeptus Mechanicus,5,58.6,89.2,20.00,1,4,0,20.00,05/09/2022
Adeptus Mechanicus,2,88,41,100.00,2,0,0,100.00,12/09/2022
Adeptus Mechanicus,14,58.14,72,28.57,4,10,0,28.57,19/09/2022
Adeptus Mechanicus,57,53.14,61.23,40.35,23,33,1,40.35,26/09/2022
Adeptus Mechanicus,87,54.91,60.64,43.68,38,48,1,43.53,03/10/2022
Adeptus Mechanicus,83,59.12,71.14,34.94,29,53,1,34.94,10/10/2022
Adeptus Mechanicus,55,48,57.85,30.91,17,35,3,30.91,17/10/2022
Adeptus Mechanicus,96,56.23,60.63,39.58,38,52,6,39.36,24/10/2022
Adeptus Mechanicus,92,55.45,66.62,38.04,35,57,0,38.04,31/10/2022
Adeptus Mechanicus,90,54.99,65.53,28.89,26,60,4,28.89,07/11/2022
Adeptus Mechanicus,71,57.52,66.21,36.62,26,45,0,36.62,14/11/2022
Adeptus Mechanicus,64,52.66,61.94,39.06,25,39,0,39.06,21/11/2022
Adeptus Mechanicus,70,54.27,67.84,32.86,23,47,0,32.86,28/11/2022
Adeptus Mechanicus,72,54.24,67.67,40.28,29,42,1,40.28,05/12/2022
Adeptus Mechanicus,56,50.23,73.5,32.14,18,38,0,32.14,12/12/2022
Adeptus Mechanicus,6,52.83,56.33,50.00,3,3,0,50.00,19/12/2022
Aeldari,41,59.41,62.41,43.90,18,23,0,43.90,11/07/2022
Aeldari,34,63.91,55.5,58.82,20,14,0,58.82,18/07/2022
Aeldari,39,61.41,61.08,38.46,15,22,2,37.14,25/07/2022
Aeldari,49,58.8,66.1,40.82,20,29,0,40.82,01/08/2022
Aeldari,36,55.33,61.19,41.67,15,21,0,41.67,08/08/2022
Aeldari,23,62.52,61.09,56.52,13,10,0,56.52,15/08/2022
Aeldari,25,63.76,62.32,52.00,13,11,1,52.00,22/08/2022
Aeldari,23,58.57,59.13,56.52,13,10,0,56.52,29/08/2022
Aeldari,5,48,48,60.00,3,2,0,60.00,19/09/2022
Aeldari,30,54.97,56.77,43.33,13,16,1,42.86,26/09/2022
Aeldari,36,55.92,71.36,30.56,11,23,2,30.56,03/10/2022
Aeldari,24,67.58,66.67,54.17,13,11,0,54.17,10/10/2022
Aeldari,21,53.57,50.38,47.62,10,11,0,47.62,17/10/2022
Aeldari,17,54.59,60.76,52.94,9,7,1,52.94,24/10/2022
Aeldari,26,58.96,51.35,53.85,14,12,0,53.85,31/10/2022
Aeldari,16,54.31,52.75,37.50,6,10,0,37.50,07/11/2022
Aeldari,28,61.18,63.64,50.00,14,13,1,50.00,14/11/2022
Aeldari,27,58.44,60.48,51.85,14,13,0,51.85,21/11/2022
Aeldari,23,56.22,66.83,39.13,9,13,1,39.13,28/11/2022
Aeldari,30,63.13,55.43,56.67,17,13,0,56.67,05/12/2022
Aeldari,13,55.54,67,30.77,4,8,1,30.77,12/12/2022
Astra Militarum,232,58.12,69.31,36.64,85,144,3,36.16,11/07/2022
Astra Militarum,234,57.68,67.15,36.75,86,145,3,36.75,18/07/2022
Astra Militarum,260,57.4,68.77,36.92,96,161,3,36.72,25/07/2022
Astra Militarum,239,61.07,71.28,39.33,94,138,7,39.06,01/08/2022
Astra Militarum,269,59.13,65.06,38.66,104,162,3,38.40,08/08/2022
Astra Militarum,225,63.45,64.7,45.33,102,120,3,45.12,15/08/2022
Astra Militarum,222,61.87,68.19,44.14,98,122,2,43.98,22/08/2022
Astra Militarum,211,62.98,68.18,41.71,88,121,2,41.38,29/08/2022
Astra Militarum,5,41.6,65.2,20.00,1,4,0,20.00,05/09/2022
Astra Militarum,12,59.42,93.5,33.33,4,8,0,33.33,12/09/2022
Astra Militarum,10,80.1,73.8,50.00,5,5,0,50.00,19/09/2022
Astra Militarum,170,63.14,66.17,48.24,82,86,2,48.15,26/09/2022
Astra Militarum,230,60.13,68.89,37.39,86,140,4,37.05,03/10/2022
Astra Militarum,190,60.58,68.53,38.95,74,113,3,38.83,10/10/2022
Astra Militarum,175,59.76,66.37,40.57,71,104,0,40.35,17/10/2022
Astra Militarum,168,60.29,62.82,50.00,84,83,1,50.00,24/10/2022
Astra Militarum,189,61.47,70.5,41.27,78,110,1,40.98,31/10/2022
Astra Militarum,191,61.34,65.68,45.55,87,103,1,45.45,07/11/2022
Astra Militarum,197,63.4,73.09,38.07,75,120,2,37.84,14/11/2022
Astra Militarum,176,59.87,65.76,42.05,74,99,3,41.95,21/11/2022
Astra Militarum,258,63.03,66.1,46.51,120,131,7,46.43,28/11/2022
Astra Militarum,279,55.56,61.85,44.09,123,154,2,43.96,05/12/2022
Astra Militarum,324,63.59,62.58,54.01,175,147,2,54.14,12/12/2022
Astra Militarum,46,62.63,59.52,58.70,27,19,0,58.70,19/12/2022
Blood Angels,310,63.43,64.04,50.00,155,153,2,50.00,11/07/2022
Blood Angels,374,64.87,63.42,51.87,194,177,3,51.90,18/07/2022
Blood Angels,342,63.75,64.91,50.00,171,166,5,50.00,25/07/2022
Blood Angels,356,61.35,64.5,43.26,154,202,0,43.02,01/08/2022
Blood Angels,325,64.07,65.85,43.69,142,174,9,43.53,08/08/2022
Blood Angels,376,63.2,62.9,47.61,179,187,10,47.57,15/08/2022
Blood Angels,334,64.13,65.85,46.71,156,174,4,46.69,22/08/2022
Blood Angels,383,64.31,62.99,50.65,194,182,7,50.66,29/08/2022
Blood Angels,21,68.05,88.19,28.57,6,15,0,28.57,05/09/2022
Blood Angels,17,79.47,68.71,47.06,8,9,0,47.06,12/09/2022
Blood Angels,38,60.03,60.05,50.00,19,17,2,50.00,19/09/2022
Blood Angels,276,65.05,69.3,41.67,115,161,0,41.54,26/09/2022
Blood Angels,279,63.84,65.56,43.37,121,157,1,43.12,03/10/2022
Blood Angels,312,67.36,66.66,50.64,158,150,4,50.66,10/10/2022
Blood Angels,206,60.42,64.3,47.09,97,108,1,47.06,17/10/2022
Blood Angels,243,66.23,64.44,47.74,116,125,2,47.70,24/10/2022
Blood Angels,208,61.38,62.64,43.27,90,116,2,43.07,31/10/2022
Blood Angels,229,65.21,64.53,48.91,112,114,3,48.87,07/11/2022
Blood Angels,223,59.53,65.37,43.05,96,123,4,42.86,14/11/2022
Blood Angels,242,67.21,65.51,53.31,129,109,4,53.39,21/11/2022
Blood Angels,268,64.09,67.04,45.52,122,143,3,45.45,28/11/2022
Blood Angels,179,62.56,67,44.13,79,99,1,44.07,05/12/2022
Blood Angels,234,71.32,72.23,48.29,113,121,0,48.23,12/12/2022
Blood Angels,32,49,64.38,31.25,10,22,0,30.00,19/12/2022
Chaos,11,56.45,68.64,27.27,3,8,0,27.27,11/07/2022
Chaos,13,69.92,64.77,46.15,6,7,0,46.15,18/07/2022
Chaos,24,60.38,67.08,37.50,9,15,0,37.50,25/07/2022
Chaos,18,73.39,66.78,50.00,9,9,0,50.00,01/08/2022
Chaos,16,61.63,60.69,56.25,9,7,0,57.14,08/08/2022
Chaos,15,61.93,58.8,53.33,8,7,0,53.33,15/08/2022
Chaos,18,58.17,67.44,33.33,6,12,0,33.33,22/08/2022
Chaos,13,56.23,60.46,38.46,5,8,0,38.46,29/08/2022
Chaos,1,48,100,0.00,0,1,0,0.00,19/09/2022
Chaos,13,52.77,60.77,38.46,5,8,0,38.46,26/09/2022
Chaos,12,73,66.42,58.33,7,4,1,58.33,03/10/2022
Chaos,27,71.15,51.19,66.67,18,8,1,66.67,10/10/2022
Chaos,20,65.75,69.65,40.00,8,11,1,40.00,17/10/2022
Chaos,14,64.93,62.79,50.00,7,7,0,50.00,24/10/2022
Chaos,12,67,62.58,58.33,7,5,0,58.33,31/10/2022
Chaos,13,59.54,49.54,46.15,6,7,0,46.15,07/11/2022
Chaos,15,66.93,68,33.33,5,10,0,33.33,14/11/2022
Chaos,19,70.47,73.37,52.63,10,9,0,52.94,21/11/2022
